id;name;surname;sweet_shortname
1;Chief;Games AI input;utilisation
2;JBOD;Wyoming;array Jewelery Data
3;lime;Cotton Metal;Chief Dynamic
4;Texas Infrastructure Bedfordshire;Awesome Concrete Bacon Ergonomic Strategist;Investment Account cross-platform Configuration
5;backing up;Supervisor hard drive withdrawal;Fantastic backing up Designer
6;override;e-business;deposit Steel Steel
7;Sausages Industrial;back-end Concrete;Guadeloupe
8;attitude object-oriented;Technician Corners;model
9;quantify auxiliary Handcrafted Steel Table;overriding;Credit Card Account Credit Card Account Peru
10;Investor seamless hacking;distributed Shoes;Auto Loan Account orange
